ref_number,status,source_checked,doi_checked,notes
1,pending,,,Verify publisher page and DOI
2,pending,,,Verify publisher page and DOI
3,pending,,,Verify publisher page and DOI
4,pending,,,Verify publisher page and DOI
5,pending,,,Verify publisher page and DOI
6,pending,,,Verify publisher page and DOI
7,pending,,,Verify publisher page and DOI
8,pending,,,Verify publisher page and DOI
9,pending,,,Verify publisher page and DOI
10,pending,,,Verify publisher page and DOI
11,pending,,,Verify publisher page and DOI
12,pending,,,Verify publisher page and DOI
13,pending,,,Verify publisher page and DOI
14,pending,,,Verify publisher page and DOI
15,pending,,,Verify publisher page and DOI
16,pending,,,Verify publisher page and DOI
17,pending,,,Verify publisher page and DOI
18,pending,,,Verify publisher page and DOI
19,pending,,,Verify publisher page and DOI
20,pending,,,Verify publisher page and DOI
21,pending,,,Verify publisher page and DOI
22,pending,,,Verify publisher page and DOI
23,pending,,,Verify publisher page and DOI
24,pending,,,Verify publisher page and DOI
25,pending,,,Verify publisher page and DOI
26,pending,,,Verify publisher page and DOI
27,pending,,,Verify publisher page and DOI
28,pending,,,Verify publisher page and DOI
29,pending,,,Verify publisher page and DOI
30,pending,,,Verify publisher page and DOI
31,pending,,,Verify publisher page and DOI
32,pending,,,Verify publisher page and DOI
33,pending,,,Verify publisher page and DOI
34,pending,,,Verify publisher page and DOI
35,pending,,,Verify publisher page and DOI
36,pending,,,Verify publisher page and DOI
37,pending,,,Verify publisher page and DOI
38,pending,,,Verify publisher page and DOI
39,pending,,,Verify publisher page and DOI
40,pending,,,Verify publisher page and DOI
41,pending,,,Verify publisher page and DOI
42,pending,,,Verify publisher page and DOI
43,pending,,,Verify publisher page and DOI
