seed,scenario,attack_intensity,uav_count,uav_id,start_timestamp,end_timestamp,label
1,combined,high,10,UAV-001,2,162,combined
1,combined,high,10,UAV-002,10,150,combined
1,combined,high,10,UAV-003,5,140,combined
1,combined,high,10,UAV-003,54,159,combined
1,combined,high,10,UAV-006,10,157,combined
1,combined,high,10,UAV-007,6,153,combined
1,combined,high,10,UAV-008,0,156,combined
1,combined,high,10,UAV-009,23,178,normal
1,combined,high,20,UAV-001,13,84,combined
1,combined,high,20,UAV-001,33,130,combined
1,combined,high,20,UAV-001,47,161,combined
1,combined,high,20,UAV-005,11,141,combined
1,combined,high,20,UAV-006,4,174,combined
1,combined,high,20,UAV-007,6,109,combined
1,combined,high,20,UAV-007,47,164,combined
1,combined,high,20,UAV-010,1,165,combined
1,combined,high,20,UAV-014,14,154,combined
1,combined,high,20,UAV-014,58,174,combined
1,combined,high,20,UAV-015,9,128,combined
1,combined,high,20,UAV-017,0,130,combined
1,combined,high,20,UAV-017,23,144,combined
1,combined,high,20,UAV-017,40,178,combined
1,combined,high,20,UAV-018,5,147,combined
1,combined,high,20,UAV-018,42,166,combined
1,combined,high,20,UAV-019,7,176,combined
1,combined,low,10,UAV-001,11,156,normal
1,combined,low,10,UAV-003,3,108,combined
1,combined,low,10,UAV-003,43,127,combined
1,combined,low,10,UAV-003,62,148,combined
1,combined,low,10,UAV-005,2,166,normal
1,combined,low,10,UAV-006,15,109,normal
1,combined,low,10,UAV-006,43,146,normal
1,combined,low,10,UAV-006,69,173,normal
1,combined,low,10,UAV-007,5,156,normal
1,combined,low,10,UAV-009,2,172,normal
1,combined,low,20,UAV-001,0,179,normal
1,combined,low,20,UAV-003,0,136,normal
1,combined,low,20,UAV-004,2,151,normal
1,combined,low,20,UAV-005,13,148,normal
1,combined,low,20,UAV-006,10,152,normal
1,combined,low,20,UAV-008,3,171,normal
1,combined,low,20,UAV-009,0,164,normal
1,combined,low,20,UAV-011,11,161,combined
1,combined,low,20,UAV-015,17,169,normal
1,combined,low,20,UAV-019,2,152,normal
1,combined,medium,10,UAV-001,13,159,normal
1,combined,medium,10,UAV-002,1,171,combined
1,combined,medium,10,UAV-003,3,178,normal
1,combined,medium,10,UAV-005,3,151,normal
1,combined,medium,10,UAV-005,28,168,normal
1,combined,medium,10,UAV-009,0,156,normal
1,combined,medium,10,UAV-010,10,143,combined
1,combined,medium,20,UAV-001,8,157,normal
1,combined,medium,20,UAV-002,16,159,combined
1,combined,medium,20,UAV-003,0,146,combined
1,combined,medium,20,UAV-003,50,166,combined
1,combined,medium,20,UAV-007,4,167,combined
1,combined,medium,20,UAV-008,7,156,combined
1,combined,medium,20,UAV-008,60,174,combined
1,combined,medium,20,UAV-009,13,145,combined
1,combined,medium,20,UAV-013,4,174,normal
1,combined,medium,20,UAV-014,1,158,combined
1,combined,medium,20,UAV-020,1,120,combined
1,combined,medium,20,UAV-020,34,148,combined
1,jamming,high,10,UAV-004,3,118,jamming
1,jamming,high,10,UAV-004,37,162,jamming
1,jamming,high,10,UAV-007,2,127,jamming
1,jamming,high,10,UAV-007,11,160,jamming
1,jamming,high,10,UAV-008,4,164,normal
1,jamming,high,20,UAV-003,2,164,normal
1,jamming,high,20,UAV-006,1,138,normal
1,jamming,high,20,UAV-006,15,153,normal
1,jamming,high,20,UAV-013,13,118,jamming
1,jamming,high,20,UAV-013,54,172,jamming
1,jamming,high,20,UAV-014,22,130,jamming
1,jamming,high,20,UAV-018,0,132,jamming
1,jamming,high,20,UAV-018,23,162,jamming
1,jamming,low,10,UAV-001,14,151,jamming
1,jamming,low,10,UAV-002,7,118,jamming
1,jamming,low,10,UAV-002,42,169,jamming
1,jamming,low,10,UAV-003,6,151,normal
1,jamming,low,10,UAV-003,39,173,normal
1,jamming,low,10,UAV-007,2,178,jamming
1,jamming,low,10,UAV-008,13,177,normal
1,jamming,low,10,UAV-009,4,93,normal
1,jamming,low,10,UAV-009,37,136,jamming
1,jamming,low,20,UAV-001,25,149,normal
1,jamming,low,20,UAV-002,6,150,jamming
1,jamming,low,20,UAV-003,26,144,normal
1,jamming,low,20,UAV-003,63,165,normal
1,jamming,low,20,UAV-004,7,177,normal
1,jamming,low,20,UAV-005,9,156,normal
1,jamming,low,20,UAV-009,6,142,normal
1,jamming,low,20,UAV-009,61,165,normal
1,jamming,low,20,UAV-010,11,164,normal
1,jamming,low,20,UAV-012,2,164,normal
1,jamming,low,20,UAV-016,9,137,jamming
1,jamming,low,20,UAV-016,33,159,jamming
1,jamming,low,20,UAV-016,75,178,normal
1,jamming,low,20,UAV-017,4,152,normal
1,jamming,low,20,UAV-017,35,168,normal
1,jamming,low,20,UAV-019,6,136,normal
1,jamming,low,20,UAV-019,37,168,normal
1,jamming,medium,10,UAV-004,31,166,normal
1,jamming,medium,10,UAV-005,7,155,jamming
1,jamming,medium,10,UAV-006,11,161,jamming
1,jamming,medium,10,UAV-009,2,152,jamming
1,jamming,medium,10,UAV-010,2,163,jamming
1,jamming,medium,10,UAV-010,23,171,jamming
1,jamming,medium,20,UAV-001,8,161,jamming
1,jamming,medium,20,UAV-004,0,177,normal
1,jamming,medium,20,UAV-005,1,151,normal
1,jamming,medium,20,UAV-006,2,179,normal
1,jamming,medium,20,UAV-008,5,133,jamming
1,jamming,medium,20,UAV-008,35,161,jamming
1,jamming,medium,20,UAV-009,8,156,jamming
1,jamming,medium,20,UAV-011,1,143,jamming
1,jamming,medium,20,UAV-012,0,115,jamming
1,jamming,medium,20,UAV-012,43,174,jamming
1,jamming,medium,20,UAV-014,2,164,normal
1,jamming,medium,20,UAV-015,0,175,normal
1,jamming,medium,20,UAV-018,13,116,jamming
1,jamming,medium,20,UAV-018,29,160,jamming
1,jamming,medium,20,UAV-019,2,156,jamming
1,jamming,medium,20,UAV-020,3,154,jamming
1,jamming_spoofing,high,10,UAV-003,1,117,jamming_spoofing
1,jamming_spoofing,high,10,UAV-003,31,156,jamming_spoofing
1,jamming_spoofing,high,10,UAV-003,58,179,jamming_spoofing
1,jamming_spoofing,high,10,UAV-004,5,155,jamming_spoofing
1,jamming_spoofing,high,10,UAV-005,22,149,jamming_spoofing
1,jamming_spoofing,high,10,UAV-006,15,152,jamming_spoofing
1,jamming_spoofing,high,10,UAV-007,1,151,jamming_spoofing
1,jamming_spoofing,high,20,UAV-001,5,146,jamming_spoofing
1,jamming_spoofing,high,20,UAV-002,2,126,jamming_spoofing
1,jamming_spoofing,high,20,UAV-002,28,165,jamming_spoofing
1,jamming_spoofing,high,20,UAV-009,35,179,normal
1,jamming_spoofing,high,20,UAV-011,18,153,jamming_spoofing
1,jamming_spoofing,high,20,UAV-013,3,152,jamming_spoofing
1,jamming_spoofing,high,20,UAV-014,3,133,jamming_spoofing
1,jamming_spoofing,high,20,UAV-020,15,130,jamming_spoofing
1,jamming_spoofing,high,20,UAV-020,35,173,jamming_spoofing
1,jamming_spoofing,low,10,UAV-002,0,162,normal
1,jamming_spoofing,low,10,UAV-004,3,151,normal
1,jamming_spoofing,low,10,UAV-006,17,178,jamming_spoofing
1,jamming_spoofing,low,10,UAV-008,9,157,jamming_spoofing
1,jamming_spoofing,low,10,UAV-009,14,167,normal
1,jamming_spoofing,low,20,UAV-001,3,126,normal
