actual_attack_type,attack_intensity,detection_delay_mean,detection_delay_std,detection_delay_ci95,records
combined,high,15.319856244384546,7.837498131274606,0.46045367069650556,1113
combined,low,33.61162079510704,16.33602693219776,1.2520268367796303,654
combined,medium,21.932403433476395,10.608284737216138,0.6810724033824308,932
jamming,high,15.125288683602772,7.95371548635798,0.3745865498228006,1732
jamming,low,32.138476755687435,16.39864197632013,1.0108538692718825,1011
jamming,medium,21.188752783964365,10.585926769749767,0.489589156633845,1796
jamming_spoofing,high,15.27147087857848,7.868885155378382,0.34264907027910607,2026
jamming_spoofing,low,32.853783231083845,16.29393803177932,1.021204463256045,978
jamming_spoofing,medium,20.759100642398288,10.807226237776758,0.6931015599354682,934
jamming_tampering,high,15.546332046332047,7.938071803769015,0.3946804249388018,1554
jamming_tampering,low,32.334273624823695,16.819403693610525,1.238065290631972,709
jamming_tampering,medium,20.708056171470805,10.643207760850554,0.5671262022581457,1353
spoofing,high,15.366849482023156,7.89114804361399,0.3818053169159095,1641
spoofing,low,34.025782688766114,15.889937348342135,1.3365288612056505,543
spoofing,medium,20.939464493597207,10.57115154249261,0.7069387507901744,859
spoofing_tampering,high,15.670403587443946,7.688768678152256,0.4119882307090375,1338
spoofing_tampering,low,32.50557620817844,16.62294316114894,1.1469044132532957,807
spoofing_tampering,medium,21.283767038413878,10.89949673003272,0.7520136946104065,807
tampering,high,15.341506129597198,7.963674058244064,0.37712981367579285,1713
tampering,low,33.343313373253494,16.89987870369491,1.479860560275142,501
tampering,medium,21.01729106628242,10.731620999074606,0.5645815281594255,1388
