model,class,precision,recall,f1_score,support
Logistic Regression,combined,0.42142857142857143,0.26576576576576577,0.3259668508287293,222.0
Logistic Regression,jamming,0.556872037914692,0.618421052631579,0.5860349127182045,380.0
Logistic Regression,jamming_spoofing,0.5680628272251309,0.6615853658536586,0.6112676056338028,328.0
Logistic Regression,jamming_tampering,0.44495412844036697,0.3265993265993266,0.3766990291262136,297.0
Logistic Regression,normal,0.8320403413498836,0.9697106690777577,0.8956158663883089,2212.0
Logistic Regression,spoofing,0.4921259842519685,0.5186721991701245,0.5050505050505051,241.0
Logistic Regression,spoofing_tampering,0.45982142857142855,0.4204081632653061,0.43923240938166314,245.0
Logistic Regression,tampering,1.0,0.003401360544217687,0.006779661016949152,294.0
Linear SVM,combined,0.4857142857142857,0.22972972972972974,0.3119266055045872,222.0
Linear SVM,jamming,0.579250720461095,0.5289473684210526,0.5529573590096286,380.0
Linear SVM,jamming_spoofing,0.6060606060606061,0.7317073170731707,0.6629834254143646,328.0
Linear SVM,jamming_tampering,0.45806451612903226,0.23905723905723905,0.3141592920353982,297.0
Linear SVM,normal,0.767588379418971,0.9914104882459313,0.8652594200039455,2212.0
Linear SVM,spoofing,0.49572649572649574,0.48132780082987553,0.4884210526315789,241.0
Linear SVM,spoofing_tampering,0.48,0.24489795918367346,0.32432432432432434,245.0
Linear SVM,tampering,0.0,0.0,0.0,294.0
Random Forest,combined,0.475,0.08558558558558559,0.1450381679389313,222.0
Random Forest,jamming,0.5515548281505729,0.8868421052631579,0.6801210898082745,380.0
Random Forest,jamming_spoofing,0.5788461538461539,0.9176829268292683,0.7099056603773585,328.0
Random Forest,jamming_tampering,0.609375,0.13131313131313133,0.21606648199445982,297.0
Random Forest,normal,0.9616658778987222,0.918625678119349,0.9396531791907514,2212.0
Random Forest,spoofing,0.5212765957446809,0.6099585062240664,0.5621414913957935,241.0
Random Forest,spoofing_tampering,0.5023255813953489,0.44081632653061226,0.46956521739130436,245.0
Random Forest,tampering,0.7165775401069518,0.9115646258503401,0.8023952095808383,294.0
