model,class,precision,recall,f1_score,support
Weighted GRU,combined,0.35658914728682173,0.2072072072072072,0.2621082621082621,222.0
Weighted GRU,jamming,0.5164520743919886,0.95,0.6691380908248378,380.0
Weighted GRU,jamming_spoofing,0.5590909090909091,0.75,0.640625,328.0
Weighted GRU,jamming_tampering,0.46875,0.050505050505050504,0.0911854103343465,297.0
Weighted GRU,normal,0.9950074887668497,0.900994575045208,0.9456702253855279,2212.0
Weighted GRU,spoofing,0.5050251256281407,0.8340248962655602,0.6291079812206573,241.0
Weighted GRU,spoofing_tampering,0.5280898876404494,0.19183673469387755,0.281437125748503,245.0
Weighted GRU,tampering,0.6806526806526807,0.9931972789115646,0.8077455048409405,294.0
Weighted LSTM,combined,0.36486486486486486,0.24324324324324326,0.2918918918918919,222.0
Weighted LSTM,jamming,0.5392857142857143,0.3973684210526316,0.4575757575757576,380.0
Weighted LSTM,jamming_spoofing,0.582089552238806,0.7134146341463414,0.6410958904109589,328.0
Weighted LSTM,jamming_tampering,0.4131455399061033,0.5925925925925926,0.48686030428769017,297.0
Weighted LSTM,normal,0.987781036168133,0.9136528028933092,0.9492719586660404,2212.0
Weighted LSTM,spoofing,0.5730337078651685,0.21161825726141079,0.3090909090909091,241.0
Weighted LSTM,spoofing_tampering,0.4802784222737819,0.8448979591836735,0.6124260355029586,245.0
Weighted LSTM,tampering,0.707808564231738,0.95578231292517,0.8133140376266281,294.0
