model,class,precision,recall,f1_score,support
Weighted LSTM v4,combined,0.4205128205128205,0.6165413533834586,0.5,133.0
Weighted LSTM v4,jamming,0.47058823529411764,0.17543859649122806,0.25559105431309903,228.0
Weighted LSTM v4,jamming_spoofing,0.6013513513513513,0.4517766497461929,0.5159420289855072,197.0
Weighted LSTM v4,jamming_tampering,0.4096045197740113,0.8146067415730337,0.5451127819548872,178.0
Weighted LSTM v4,normal,0.9966666666666667,0.9012810851544838,0.9465769687376335,1327.0
Weighted LSTM v4,spoofing,0.5194174757281553,0.7379310344827587,0.6096866096866097,145.0
Weighted LSTM v4,spoofing_tampering,0.45714285714285713,0.32653061224489793,0.38095238095238093,147.0
Weighted LSTM v4,tampering,0.7280334728033473,0.9830508474576272,0.8365384615384616,177.0
Weighted GRU v4,combined,0.4372093023255814,0.706766917293233,0.5402298850574713,133.0
Weighted GRU v4,jamming,0.55625,0.39035087719298245,0.4587628865979381,228.0
Weighted GRU v4,jamming_spoofing,0.6341463414634146,0.39593908629441626,0.4875,197.0
Weighted GRU v4,jamming_tampering,0.4216417910447761,0.6348314606741573,0.5067264573991032,178.0
Weighted GRU v4,normal,0.9917695473251029,0.9080633006782216,0.948072383949646,1327.0
Weighted GRU v4,spoofing,0.5131578947368421,0.5379310344827586,0.5252525252525253,145.0
Weighted GRU v4,spoofing_tampering,0.4723926380368098,0.5238095238095238,0.4967741935483871,147.0
Weighted GRU v4,tampering,0.7372881355932204,0.9830508474576272,0.8426150121065376,177.0
